	Source	NetworkSize	TreatedCount	Reduction	NumHCWs	TreatmentEffect	TreatedHCWs	PtReduction
112	Patient_33086	2	1	1.639	0	1	0	1.639
113	Patient_37461	5	0	5.0	4	0	0	1.0
114	Patient_40982	1	0	1.0	0	0	0	1.0
115	Patient_74747	1	0	1.0	0	0	0	1.0
116	Patient_83573	7	2	4.872944	4	5	3	1.9559440000000001
117	Patient_24751	3	0	3.0	2	0	0	1.0
118	Patient_41406	1	0	1.0	0	0	0	1.0
119	Patient_76640	1	0	1.0	0	0	0	1.0
120	Patient_78701	2	0	2.0	1	0	0	1.0
121	Patient_84872	2	0	2.0	0	0	0	2.0
122	Patient_4323	1	0	1.0	0	0	0	1.0
123	Patient_9196	2	0	2.0	0	0	0	2.0
124	Patient_33531	1	0	1.0	0	0	0	1.0
125	Patient_40916	2	0	2.0	1	0	0	1.0
126	Patient_46660	1	0	1.0	0	0	0	1.0
127	Patient_56537	1	0	1.0	0	0	0	1.0
128	Patient_73708	2	0	2.0	0	0	0	2.0
129	Patient_84578	2	0	2.0	1	0	0	1.0
130	Patient_4994	4	0	4.0	3	0	0	1.0
131	Patient_9526	1	0	1.0	0	0	0	1.0
132	Patient_36701	4	0	4.0	2	0	0	2.0
133	Patient_39950	1	0	1.0	0	0	0	1.0
134	Patient_44821	8	4	4.565092224	2	6	1	2.9260922239999996
135	Patient_55170	2	0	2.0	0	0	0	2.0
136	Patient_60732	4	0	4.0	3	0	0	1.0
137	Patient_72238	2	0	2.0	1	0	0	1.0
138	Patient_85632	1	0	1.0	0	0	0	1.0
139	Patient_8988	1	0	1.0	0	0	0	1.0
140	Patient_14085	1	0	1.0	0	0	0	1.0
141	Patient_19625	1	0	1.0	0	0	0	1.0
142	Patient_22323	1	0	1.0	0	0	0	1.0
143	Patient_25901	1	0	1.0	0	0	0	1.0
144	Patient_28494	2	0	2.0	0	0	0	2.0
145	Patient_33536	1	0	1.0	0	0	0	1.0
146	Patient_42272	2	0	2.0	0	0	0	2.0
147	Patient_52912	1	0	1.0	0	0	0	1.0
148	Patient_63333	1	0	1.0	0	0	0	1.0
149	Patient_66156	1	0	1.0	0	0	0	1.0
150	Patient_71262	5	0	5.0	4	0	0	1.0
151	Patient_78417	1	0	1.0	0	0	0	1.0
152	Patient_16917	2	1	1.496	0	1	0	1.496
153	Patient_44133	2	0	2.0	0	0	0	2.0
154	Patient_54427	2	0	2.0	1	0	0	1.0
155	Patient_73301	3	1	2.6390000000000002	1	1	0	1.639
156	Patient_80377	4	1	3.6390000000000002	2	1	0	1.639
157	Patient_6886	5	2	3.488	2	3	1	1.992
158	Patient_19683	1	0	1.0	0	0	0	1.0
159	Patient_34653	2	1	1.496	0	1	0	1.496
160	Patient_40691	1	0	1.0	0	0	0	1.0
161	Patient_72442	3	1	1.992	1	2	1	1.496
162	Patient_76105	3	0	3.0	0	0	0	3.0
163	Patient_82391	3	0	3.0	2	0	0	1.0
164	Patient_8820	1	0	1.0	0	0	0	1.0
165	Patient_20742	3	1	2.496	0	1	0	2.496
166	Patient_32670	1	0	1.0	0	0	0	1.0
167	Patient_36523	3	1	2.278	1	2	1	1.639
168	Patient_41755	1	0	1.0	0	0	0	1.0
169	Patient_83022	2	0	2.0	1	0	0	1.0
170	Patient_17816	1	0	1.0	0	0	0	1.0
171	Patient_23248	1	0	1.0	0	0	0	1.0
172	Patient_26989	1	0	1.0	0	0	0	1.0
173	Patient_36619	2	0	2.0	0	0	0	2.0
174	Patient_45723	5	2	3.238016	2	3	1	1.742016
175	Patient_58962	2	0	2.0	1	0	0	1.0
176	Patient_4727	1	0	1.0	0	0	0	1.0
177	Patient_25833	1	0	1.0	0	0	0	1.0
178	Patient_37854	6	2	4.917	2	3	0	2.917
179	Patient_41781	2	0	2.0	1	0	0	1.0
180	Patient_52041	11	1	8.984	7	4	3	3.496
181	Patient_62635	4	2	2.238016	0	3	0	2.238016
182	Patient_67762	5	1	4.2780000000000005	2	2	1	2.6390000000000002
183	Patient_84816	7	3	5.308944	1	3	0	4.308944
184	Patient_17342	1	0	1.0	0	0	0	1.0
185	Patient_27283	4	0	4.0	3	0	0	1.0
186	Patient_30775	5	1	4.496	3	1	0	1.496
187	Patient_37308	1	0	1.0	0	0	0	1.0
188	Patient_64393	1	0	1.0	0	0	0	1.0
189	Patient_83424	4	1	2.917	2	3	2	1.639
190	Patient_12148	4	1	2.917	2	3	2	1.639
191	Patient_18092	1	0	1.0	0	0	0	1.0
192	Patient_21188	1	0	1.0	0	0	0	1.0
193	Patient_33367	1	0	1.0	0	0	0	1.0
194	Patient_41627	1	0	1.0	0	0	0	1.0
195	Patient_74025	5	1	4.496	2	1	0	2.496
196	Patient_81176	4	2	2.812944	1	2	0	1.8129439999999999
197	Patient_85315	1	0	1.0	0	0	0	1.0
198	Patient_4008	1	0	1.0	0	0	0	1.0
199	Patient_16160	1	0	1.0	0	0	0	1.0
200	Patient_20556	1	0	1.0	0	0	0	1.0
201	Patient_42090	1	0	1.0	0	0	0	1.0
202	Patient_51684	1	0	1.0	0	0	0	1.0
203	Patient_54126	1	0	1.0	0	0	0	1.0
204	Patient_59483	2	0	2.0	1	0	0	1.0
205	Patient_70380	1	0	1.0	0	0	0	1.0
206	Patient_5869	1	0	1.0	0	0	0	1.0
207	Patient_19327	1	0	1.0	0	0	0	1.0
208	Patient_30504	1	0	1.0	0	0	0	1.0
209	Patient_40108	1	0	1.0	0	0	0	1.0
210	Patient_47884	1	0	1.0	0	0	0	1.0
211	Patient_72634	1	0	1.0	0	0	0	1.0
212	Patient_85192	2	0	2.0	0	0	0	2.0
213	Patient_13196	1	0	1.0	0	0	0	1.0
214	Patient_55573	2	0	2.0	0	0	0	2.0
215	Patient_69535	1	0	1.0	0	0	0	1.0
216	Patient_76428	1	0	1.0	0	0	0	1.0
