	PercentReduction	PropCasesReduced	InitialInf	AdjustedInf	NumHCWs	NumPTs	TreatmentEffect	PropImpactedPTs	PropImpactedHCWs	PTPercentReduction	Condition
count	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0
mean	10.36683468582519	0.21425629486399778	731.1666666666666	655.3919702690426	250.33333333333334	480.8333333333333	156.5	0.23911245143353962	0.16604557437484804	11.4977106888812	1.0
std	2.1440782520351123	0.03676015998739564	68.90403955260292	64.991590202084	52.49634907940425	29.006321150167715	30.375977350531457	0.03114566357839634	0.06247961244795275	1.7134160957032514	0.0
min	7.923892124105006	0.1718377088305489	659.0	590.437390622	203.0	439.0	119.0	0.20045558086560364	0.12034383954154727	9.59361470615034	1.0
25%	8.982234032962461	0.18622328359638257	677.25	615.0949896860639	220.0	462.0	145.0	0.21345926165106016	0.1244093565142115	10.05206028078618	1.0
50%	10.355023970472285	0.21871705334235272	721.5	643.306243496128	235.5	484.5	153.0	0.24198784362481005	0.13393997445721584	11.433528867639698	1.0
75%	10.865040449235941	0.22640429595520906	768.75	669.336252062	257.0	503.25	158.75	0.2655388779527559	0.19612639116949462	12.683519251751338	1.0
max	14.007384720618543	0.27190721649484534	838.0	771.597784	349.0	513.0	211.0	0.2729044834307992	0.26996197718631176	13.833838226900586	1.0
