	PercentReduction	PropCasesReduced	InitialInf	AdjustedInf	NumHCWs	NumPTs	TreatmentEffect	PropImpactedPTs	PropImpactedHCWs	PTPercentReduction	Condition
count	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0
mean	9.594225581309603	0.20228669331716065	822.8333333333334	743.6505295465173	257.1666666666667	565.6666666666666	166.66666666666666	0.2291540248730296	0.143162760514757	10.785767370249951	2.0
std	1.4202233608520098	0.022468838706276507	42.738351239450814	34.57912636679571	20.701851769024593	37.913937630727126	22.535897290027453	0.02243387837092192	0.02836757796609799	1.4362173383534	0.0
min	7.679263202952029	0.16728167281672818	765.0	698.06261	227.0	512.0	136.0	0.1963963963963964	0.10465116279069768	9.05483420540541	2.0
25%	8.686829702105637	0.190714767520294	791.25	714.616589712	253.75	552.0	151.0	0.21648671449637025	0.1308058647260274	9.802363034675126	2.0
50%	9.56421966657997	0.20637611339981843	828.0	757.878777576	256.5	556.0	167.5	0.22919972499812646	0.14150506422924902	10.51448529297851	2.0
75%	10.817696480185221	0.22032727010885	856.5	768.7581115553279	257.75	592.25	186.25	0.24674596050269298	0.15136263668660893	11.999864381490248	2.0
max	11.12776248641115	0.22321428571428573	871.0	775.502595488	292.0	615.0	191.0	0.2552845528455285	0.1894273127753304	12.570819737235785	2.0
