	SimulationNumber	PropCommInf
0	1	0.9225806451612903
1	2	0.862876254180602
2	3	0.8157894736842105
3	4	0.9072847682119205
4	5	0.8838028169014085
5	6	0.919732441471572
6	7	0.8717948717948718
7	8	0.864516129032258
8	9	0.9038461538461539
9	10	0.9370860927152318
10	11	0.8833333333333333
11	12	0.9057239057239057
12	13	0.8805460750853242
13	14	0.9139784946236559
14	15	0.8971061093247589
15	16	0.8526645768025078
16	17	0.8754208754208754
17	18	0.8496503496503497
18	19	0.9183673469387755
19	20	0.9197530864197531
20	21	0.9050279329608939
21	22	0.8983516483516484
22	23	0.8847262247838616
23	24	0.9111675126903553
24	25	0.8555858310626703
25	26	0.9102902374670184
26	27	0.9162162162162162
27	28	0.896551724137931
28	29	0.9037433155080213
29	30	0.9378238341968912
30	31	0.861878453038674
31	32	0.8837209302325582
32	33	0.9297297297297298
33	34	0.9228650137741047
34	35	0.9075
35	36	0.8710526315789474
36	37	0.9060773480662984
37	38	0.8605898123324397
38	39	0.9182561307901907
39	40	0.9030470914127424
40	41	0.9418282548476454
41	42	0.912568306010929
42	43	0.8978494623655914
43	44	0.9098591549295775
44	45	0.9258241758241759
45	46	0.8904494382022472
46	47	0.9203296703296703
47	48	0.9342465753424658
48	49	0.9051282051282051
49	50	0.9487870619946092
50	51	0.928
51	52	0.8945945945945946
52	53	0.9078212290502793
53	54	0.8917378917378918
54	55	0.9362880886426593
55	56	0.9352112676056338
56	57	0.924791086350975
57	58	0.8924731182795699
58	59	0.9423076923076923
59	60	0.8966480446927374
60	61	0.867109634551495
61	62	0.896551724137931
62	63	0.8867924528301887
63	64	0.9006849315068494
64	65	0.8695652173913043
65	66	0.9155844155844156
66	67	0.8231884057971014
67	68	0.9140893470790378
68	69	0.889937106918239
69	70	0.9366666666666666
70	71	0.8795986622073578
71	72	0.8827586206896552
72	73	0.8312101910828026
73	74	0.9285714285714286
74	75	0.8874172185430463
75	76	0.8926174496644296
76	77	0.8717948717948718
77	78	0.8710801393728222
78	79	0.8923611111111112
79	80	0.9115646258503401
80	81	0.9065934065934066
81	82	0.8656330749354005
82	83	0.8897849462365591
83	84	0.9002557544757033
84	85	0.8739946380697051
85	86	0.8932291666666666
86	87	0.9036827195467422
87	88	0.8861788617886179
88	89	0.907103825136612
89	90	0.927461139896373
90	91	0.8850267379679144
91	92	0.8847262247838616
92	93	0.9016393442622951
93	94	0.8726287262872628
94	95	0.8801089918256131
95	96	0.8897849462365591
96	97	0.924119241192412
97	98	0.8826666666666667
98	99	0.9375
99	100	0.9090909090909091
100	101	0.9098360655737705
101	102	0.905982905982906
102	103	0.8680351906158358
103	104	0.9019073569482289
104	105	0.9106145251396648
105	106	0.8870056497175142
106	107	0.8704225352112676
107	108	0.9274193548387096
108	109	0.9380053908355795
109	110	0.9534246575342465
110	111	0.915068493150685
111	112	0.9068493150684932
112	113	0.9162162162162162
113	114	0.9405099150141643
114	115	0.9429347826086957
115	116	0.9196675900277008
116	117	0.9109195402298851
117	118	0.924791086350975
118	119	0.9248554913294798
119	120	0.9210526315789473
120	121	0.9097222222222222
121	122	0.9166666666666666
122	123	0.7986798679867987
123	124	0.9078498293515358
124	125	0.8527397260273972
125	126	0.8899082568807339
126	127	0.8737541528239202
127	128	0.919732441471572
128	129	0.894927536231884
129	130	0.91
130	131	0.9180887372013652
131	132	0.8468468468468469
132	133	0.8738170347003155
133	134	0.8712871287128713
134	135	0.8311688311688312
135	136	0.8866666666666667
136	137	0.8548387096774194
137	138	0.8885245901639345
138	139	0.912751677852349
139	140	0.9078498293515358
140	141	0.9320652173913043
141	142	0.9439775910364145
142	143	0.8917525773195877
143	144	0.9232876712328767
144	145	0.9209809264305178
145	146	0.8942857142857142
146	147	0.926829268292683
147	148	0.9186351706036745
148	149	0.9186351706036745
149	150	0.915068493150685
150	151	0.9086021505376344
151	152	0.9168765743073047
152	153	0.9171122994652406
153	154	0.8974358974358975
154	155	0.9148351648351648
155	156	0.8934426229508197
156	157	0.8923884514435696
157	158	0.9088397790055248
158	159	0.9054054054054054
159	160	0.9046321525885559
160	161	0.9078212290502793
161	162	0.90633608815427
162	163	0.928374655647383
163	164	0.9532967032967034
164	165	0.8926553672316384
165	166	0.9166666666666666
166	167	0.8095238095238095
167	168	0.9703504043126685
168	169	0.9329758713136729
169	170	0.9624664879356568
170	171	0.9060773480662984
171	172	0.9090909090909091
172	173	0.9152542372881356
173	174	0.9029411764705882
174	175	0.9164345403899722
175	176	0.9403409090909091
176	177	0.8753541076487252
177	178	0.9352112676056338
178	179	0.927536231884058
179	180	0.9157608695652174
