	PercentReduction	PropCasesReduced	InitialInf	AdjustedInf	NumHCWs	NumPTs	TreatmentEffect	PropImpactedPTs	PropImpactedHCWs	PTPercentReduction
count	60.0	60.0	60.0	60.0	60.0	60.0	60.0	60.0	60.0	60.0
mean	9.557517032052461	0.20182814965909182	688.0666666666667	621.2060353793906	240.03333333333333	448.03333333333336	140.68333333333334	0.22408218538996824	0.1603684344961876	10.580178208297614
std	1.7266507949680048	0.03111269612022394	137.92258534417994	124.08528589021017	66.9884803318835	83.04255936967904	35.450367150051434	0.030741935959559437	0.046938046720072256	1.7609417983331621
min	3.281818181818188	0.09090909090909091	33.0	31.916999999999998	5.0	28.0	3.0	0.10714285714285714	0.0	3.86785714285715
25%	8.528237298117986	0.18031414784073496	659.0	590.7661990775	213.25	437.75	127.75	0.20712954333643988	0.128480545823345	9.571448360693836
50%	9.609657185027562	0.20291304049003858	703.0	639.528526616474	242.5	456.5	144.5	0.22835379441675782	0.15350695879840154	10.752558523470118
75%	10.473818676900251	0.21779245729559663	750.25	673.627389422	280.25	478.5	155.0	0.24303862987132113	0.18652736492393773	11.828519490325435
max	14.007384720618543	0.27190721649484534	851.0	771.597784	362.0	550.0	213.0	0.278372591006424	0.26996197718631176	13.833838226900586
